STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN001080500,"BEGUMPET OBSERVATORY, IN",17-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",18-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",19-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",20-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",21-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",22-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",23-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",24-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",25-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",26-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",27-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",28-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",29-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",30-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",01-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",02-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",03-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",04-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",05-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",06-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",07-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",08-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",09-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",10-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",11-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",12-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",13-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",14-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",15-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",16-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",18-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",19-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",20-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",21-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",22-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",23-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",24-12-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",25-12-1970,0,,,
